Número na Processada	Nome do Museu	Natureza Administrativa	Instituição mantenedora	Endereço Visitação	Número Visitação	Complemento Visitação	Bairro Visitação	CEP Visitação	Município Visitação	UF Visitação	Longitude	Latitude	Endereço Correspondência	Número Correspondência	Complemento Correspondência	Caixa Postal	Bairro Correspondência	CEP Correspondência	Município Correspondência	UF Correspondência	Telefone	E-mail	Site	Antropologia e Etnografia	Arqueologia	Arquivístico	Artes Visuais	Ciências Naturais e História Natural	Ciência e Tecnologia	História	Imagem e Som	Virtual	Outros	2.3 -  Em relação à temática do museu, classifique a instituição em APENAS UMA   opção:	Ano de Abertura	Situação de funcionamento	Segunda_feira	Terça-feira	Quarta-feira	Quinta-feira	Sexta-feira	Sábado	Domingo	O ingresso ao Museu é cobrado?	Valor	[Bebedouro] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Estacionamento  ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Guarda-volumes  ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Livraria] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Loja] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Restaurante e/ou lanchonete] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Sanitário] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Teatro/Auditório ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	3.5.1 - Capacidade do teatro/auditório (assentos):	O Museu promove visitas guiadas?	O Museu possui infraestrutura para recebimento de turistas estrangeiros?	3.6.1 - O museu dispõe de sinalização visual em outro(s) idioma(s)?	3.6.2 - O museu oferece material de divulgação impresso em outros idiomas?	3.6.3 - O museu oferece audioguia em outros idiomas?	3.6.4 - O museu dispõe de guia/monitor/mediador que fala outro idioma?	3.7 - O museu possui infraestrutura para atender visitantes que apresentam dificuldade de locomoção?	[Bebedouro adaptado] 3.7.1 - Especifique:	[Cadeira de rodas para uso do visitante] 3.7.1 - Especifique:	[Circuito de visitação adaptado] 3.7.1 - Especifique:	[Corrimãos nas escadas e nas rampas] 3.7.1 - Especifique:	Elevadores com cabine e portas de entrada acessíveis para pessoa portadora de deficiência ou com mobilidade reduzida	Rampa de acesso	sanitários adaptados com equipamentos e acessórios próprios	[Telefone público adaptado] 3.7.1 - Especifique:	Vagas exclusivas em estacionamento	[Vaga de estacionamento exclusiva para idosos] 3.7.1 - Especifique:	3.8 - O museu oferece instalações e serviços destinados às pessoas com deficiências auditivas e visuais?	[Guia multimídia (audioguia com monitor)] 3.8.1 - Especifique:	[Maquetes táteis ou mapas em relevo do museu] 3.8.1 - Especifique:	[Obras e reproduções táteis] 3.8.1 - Especifique:	[Piso tátil] 3.8.1 - Especifique:	sinalização em braile	[Tradutor de Linguagem Brasileira de Sinais (LIBRAS)] 3.8.1 - Especifique:	textos/etiquetas em braile com informações sobre os objetos em exposição	O Museu possui arquivo histórico?	O arquivo tem acesso ao público?	O Museu possui biblioteca?	A biblioteca tem acesso ao público?	1.3 -  CNPJ:	2.2  -  Em relação à sua atividade principal, indique a opção que melhor caracterize a instituição:	2.2.1 -  A instituição possui acervo:	2.5 - O museu é de caráter comunitário?	2.5.1 - A comunidade realiza atividades museológicas (inventário participativo, museografia...)?	2.6 - O Museu é:	2.7 - Com relação ao acervo, indique a opção que melhor caracterize a instituição:	2.7.1 -  O comodato/empréstimo está formalizado por meio de documento legal?	2.7.2 - Especifique, em meses , a duração do comodato/empréstimo (havendo mais de um contrato especificar o de maior duração):	2.8 - Com relação às exposições, indique a opção que melhor caracterize a instituição:	2.9 - O museu é itinerante?	2.9.1 -  O museu depende de recursos financeiros de outra instituição para a itinerância da exposição?	2.10 -  O museu possui também acervo material?	2.10.1 - Esse acervo encontra-se em exposição presencial?	[O museu NÃO possui acervo em exposições em núcleo edificado] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[A exposição do museu está no próprio território] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O museu possui núcleo(s) edificado(s) com acervo em exposição] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O museu possui núcleo edificado apenas como sede técnico administrativa] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O Museu NÃO possui núcleo edificado e NÃO possui sede técnico-administrativa] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O acervo do museu é composto de núcleos edificados] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	2.12 -  Identifique o tipo/categoria de manejo da Unidade de Conservação:	2.12.1 - Especifique:	2.12.2 - Especifique:	3.3 - O museu é aberto ao púbico em geral ou somente para públicos específicos?	4.1 - O museu possui instrumento de criação?	4.1.1 - Especifique instrumento de criação:	Nº e data da Lei:	Nº e data do Decreto-Lei:	Nº e data da Decreto:	Nº e data da Portaria:	Nº e data da Resolução:	Nº e data do Ata de Reunião:	Natureza do documento, número e data:	4.2 - O museu possui regimento interno?	4.3 -  O museu possui plano museológico?	6.6 - O museu possui política de aquisição de acervo?	6.7 - O museu possui política de descarte de acervo?
1.74.50.1790	Museu do Uruguai	Não informada  	-	Rua General Câmara	757	    	Mascarenhas Moraes	97500-280	Uruguaiana	RS	-57.083343	-29.750367	Rua General Câmara	757	    	    	Mascarenhas Moraes	97500-280	Uruguaiana	RS	(55) 3413-8728	claudiavaleriafreitas@gmal.com	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.74.75.4012	Museu da Polícia Civil do Estado do Rio de Janeiro	Pública Estadual  	-	Rua da Relação	40	Sede provisória - Anexo ao prédio histórico da Polícia Civil	Centro	20231-110	Rio de Janeiro	RJ	-43.18413	-22.910334	Rua da Relação	40	Sede provisória - Anexo ao prédio histórico da Polícia Civil	    	Centro	20231-110	Rio de Janeiro	RJ	(21) 2332-9703 / (21) 2334-9729	cyroadvincula@pcerj.rj.gov.br	www.policiacivil.rj.gov.br/museu; https://www.facebook.com/museu.aampol.rio	1	NULL	NULL	3	NULL	5	6	7	8	NULL	História	1912	Aberto	10:30 - 17:30	10:30 - 17:30	10:30 - 17:30	10:30 - 17:30	10:30 - 17:30	Não abre	Não abre	N	0	Sim	Não	Sim	Não	Não	Não	Sim	Não	N/A	S	S	Sim	Sim	Não	Sim	Sim	Sim	Não	Não	Sim	N	S	S	Não	S	Sim	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	S	S	S	42.498.725/0005-25	Museu	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Decreto	N/A	N/A	Decreto nº 41.073, de 13/12/2007(Legislação atual)	N/A	N/A	N/A	N/A	Sim	Sim	Sim	Não
1.74.99.6080	Acervo Artístico-Cultural dos Palácios do Governo do Estado de São Paulo – Palácio Boa Vista	Pública Estadual  	-	Avenida Adhemar de Barros	3001	 	Boa Vista	12460-000	Campos do Jordão	SP	-45.618006	-22.737057	Avenida Morumbi	4500	Sala 146	-	Morumbi	05650-905	Campos do Jordão	SP	(12) 3668-9700 / (21) 3668-9759	monitoria@sp.gov.br	www.acervo.sp.gov.br; www.facebook.com/AcervoArtisticoSP	NULL	NULL	NULL	3	NULL	NULL	6	NULL	NULL	NULL	História	1970	Aberto	Não abre	Não abre	10:00 - 12:00 / 14:00 - 17:00	10:00 - 12:00 / 14:00 - 17:00	10:00 - 12:00 / 14:00 - 17:00	10:00 - 12:00 / 14:00 - 17:00	10:00 - 12:00 / 14:00 - 17:00	N	0	Sim	Sim	Sim	Não	Sim	Sim	Sim	Não	N/A	S	S	Não	Sim	Não	Sim	Sim	Não	Sim	Não	Sim	N	S	N	Não	N	Não	Não	N/A	N/A	N/A	N/A	N	N/A	N	N	N	S	N	10.979.446/0001-63	Museu	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Decreto	N/A	N/A	23722 de 30/07/1985	N/A	N/A	N/A	N/A	Sim	Sim	Sim	Sim
1.76.05.3827	Parque Estadual das Nascentes do Rio Taquari	Pública Estadual  	-	Rua Desembargador Leão Neto Setor 3, Quadra 3	s/n	-	Parque dos Poderes 	79031-902	Campo Grande	MS	-	-	Rua Desembargador Leão Neto Setor 3, Quadra 3	s/n	-	-	Parque dos Poderes 	79031-902	Campo Grande	MS	(67) 3318-5719	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	1999	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.76.26.8674	Centro Cultural Solar Ferrão	Pública Estadual  	-	Rua Gregório de Mattos	45	Solar Ferrão	Pelourinho	40025-060	Salvador	BA	-	-	Rua Gregório de Mattos	45	Solar Ferrão	    	Pelourinho	40025-060	Salvador	BA	(71) 3116-6743 / (71) 3116-6740	solar.ferrao@ipac.ba.gov.br	www.ipac.ba.gov.br; dimusbahia.wordpress.com	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	História	2007	Aberto	Não abre	12:00 - 18:00	12:00 - 18:00	12:00 - 18:00	12:00 - 18:00	12:00 - 17:00	12:00 - 17:00	N	-	Sim	Não	Sim	Não	Não	Não	Sim	Não	N/A	S	S	Sim	Sim	Não	Sim	Não	N/A	N/A	N/A	N/A	N	N	N	N/A	N	N/A	Não	N/A	N/A	N/A	N/A	N	N/A	N	N	N	N	N	15.205.677/0001-33	Centro Cultural	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Não	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Não	Não	Sim	Sim
1.76.48.6062	Memorial do Ensino Agrícola Superior da Bahia	Pública Federal  	-	A/C PROEXT - Núcleo de Gestão do Memorial - Rua Rui Barbosa	710	Campus Universitário da UFRB/antigo bairro dos professores	Centro	44380-000	Cruz das Almas	BA	-	-	Rua Rui Barbosa	710	Campus Universitário da UFRB/antigo bairro dos professores - A/C PROEXT - Núcleo de Gestão do Memorial	    	Centro	44380-000	Cruz das Almas	BA	(75) 3621-4329 / (75) 3621-3857	proext.cocex.numem@ufrb.edu.br; measb.ufrb@gmail.com	http://www.ufrb.edu.br/memorial; www.facebook.com/memorial1859	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Ciências Exatas, da Terra, Biológicas e da Saúde	2004	Aberto	Mediante agendamento	Mediante agendamento	Mediante agendamento	Mediante agendamento	Mediante agendamento	Não abre	Não abre	N	-	Sim	Sim	Não	Não	Não	Não	Sim	Não	N/A	S	N	N/A	N/A	N/A	N/A	Não	N/A	N/A	N/A	N/A	N	N	N	N/A	N	N/A	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	N	S	S	07.777.800/0001-62	Biblioteca	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Resolução	N/A	N/A	N/A	N/A	Nº 42/2012; 05/12/2012	N/A	N/A	Sim	Não	Não	Não
1.76.49.6670	Museu do Grêmio Hermínio Bittencourt	Privada  	-	Avenida Padre Leopoldo Bretano	110	-	Humaitá	90250-590	Porto Alegre	RS	-	-	Avenida Padre Leopoldo Bretano	110	-	    	Humaitá	90250-590	Porto Alegre	RS	(51) 3218-2018	memorial@gremio.net	www.gremio.net	NULL	NULL	NULL	NULL	NULL	NULL	6	7	NULL	NULL	Educação, Esporte e Lazer	1984	Em implantação	09:00 - 19:00	09:00 - 19:00	09:00 - 19:00	09:00 - 19:00	09:00 - 19:00	09:00 - 17:00	Não abre	S	R$20,00 (estimativa a ser confirmada, bem como política de descontos).	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	25	S	S	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	Não	S	N	S	Não	S	Sim	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	S	N	N	92.797.901/0001-74	Museu	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Não	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Não	Não	Sim	Sim
1.76.57.7853	Museu Caiçara	Privada  	-	Rua Pescador Antonio Athanasio da Silva	273	Jardim Paula Nobre - dentro do TAMAR/IBAMA	Itaguá	11680-000	Ubatuba	SP	-45.0705	-23.452181	Rua Pescador Antonio Athanasio da Silva	273	Jardim Paula Nobre - dentro do TAMAR/IBAMA	    	Itaguá	11680-000	Ubatuba	SP	  	  -  	www.muscai.com.br	1	NULL	NULL	3	NULL	NULL	6	7	NULL	NULL	-	1982	Aberto	09:00 - 18:00	09:00 - 18:00	Não abre	09:00 - 18:00	09:00 - 18:00	09:00 - 18:00	09:00 - 18:00	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	S	S	-	N	-	-	-	-	-	-	N	-	N	S	N	S	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.76.76.4094	Museu da Imagem e do Som de Pernambuco	Pública Estadual  	-	Casa da Cultura - Antiga Casa de Detenção	s/n	    	Santo Antônio	50050-000	Recife	PE	-34.883922	-8.088521	Casa da Cultura - Antiga Casa de Detenção	s/n	    	    	Santo Antônio	50050-000	Recife	PE	(81) 3184-3090 (Departamento de museus) / (81) 3184-3000 (Fundarpe)	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Fechado	09:00 - 12:00	09:00 - 12:00	09:00 - 12:00	09:00 - 12:00	09:00 - 12:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.76.78.4974	Museu da Universidade Federal do Pará	Pública Federal  	-	Avenida Governador José Malcher	1192	    	Nazaré	66055-260	Belém	PA	-48.47791	-1.448563	Avenida Governador José Malcher	1192	    	    	Nazaré	66055-260	Belém	PA	(91) 3224-0871 / (91) 3242-8340 / (91) 3241-9020	museufpa@gmail.com; museu-ufpa@ufpa.br	www.ufpa.br/museufpa	NULL	NULL	NULL	3	NULL	NULL	NULL	NULL	NULL	NULL	Artes, Arquitetura e Linguística	1984	Aberto	Não abre	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	10:00 - 14:00	10:00 - 14:00	N	0	Sim	Sim	Sim	Não	Sim	Não	Sim	Sim	25	S	N	N/A	N/A	N/A	N/A	Sim	Não	Não	Sim	Sim	S	S	S	Não	S	Sim	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	S	S	S	346.217.48/0001-23	Museu	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Realiza SOMENTE exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Outro	N/A	N/A	N/A	N/A	N/A	N/A	Regimento Interno nº 662 de 31/03/2009	Sim	Não	Sim	Sim
1.76.90.4165	Museu Sacro Monsenhor Vicente Soares	Não informada  	-	Rua José Gonçalves	41	    	  -  	35650-000	Pitangui	MG	-44.879838	-19.688521	Rua José Gonçalves	41	    	    	    	35650-000	Pitangui	MG	(37) 3271-4134	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.76.97.2757	Casa da Memória Gomes	NULL	-	Alfredo Bueno	1206	-	Centro	13820-000	Jaguariúna	SP	-	-	Alfredo Bueno	1206	-	    	Centro	13820-000	Jaguariúna	SP	(19) 3932-4062	casadamemoria@jaguariuna.sp.gov.br	www.casadamemoriajaguariuna.com.br	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	  -  	NULL	  -      	  -      	  -      	  -      	  -      	  -      	  -      	NULL	NULL	-	-	-	-	-	-	-	-	-	NULL	NULL	-	-	-	-	-	-	-	-	-	NULL	NULL	NULL	-	NULL	-	-	-	-	-	-	NULL	-	NULL	NULL	NULL	NULL	NULL	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.77.00.2165	Museu Histórico Municipal de Dois Irmãos	Pública Municipal  	-	Avenida São Miguel	1658	    	Centro	93950-000	Dois Irmãos	RS	-51.085999	-29.577788	Avenida São Miguel	1658	    	    	Centro	93950-000	Dois Irmãos	RS	(51) 3564-1277 (Ramal 212) / (51) 3564-7101	pmdicultura@terra.com.br	www.doisirmaos.rs.gov.br	1	NULL	NULL	NULL	NULL	NULL	6	7	NULL	11	-	1989	Aberto	Não abre	07:30 - 11:30 / 13:00 - 17:00	07:30 - 11:30 / 13:00 - 17:00	07:30 - 11:30 / 13:00 - 17:00	07:30 - 11:30 / 13:00 - 17:00	Não abre	09:00 - 11:30 / 13:00 - 17:00	N	0	-	-	-	-	-	-	-	-	-	S	S	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	S	S	S	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.77.46.7770	Museu de Minerais e Rochas	Pública Federal  	-	Avenida João Naves de Ávila	2121	Bloco 1Q - 1º andar	Campus Santa Mônica	38408-100	Uberlândia	MG	-48.275387	-18.914605	Avenida João Naves de Ávila Bloco 1Q	2121	1º andar	    	Campus Santa Mônica	38408-100	Uberlândia	MG	(34) 3239-4229 / (34) 3239-4505 / (34) 3239-4330	mmr@ig.ufu.br	www.proex.ufu.br/redemuseus	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Ciências Exatas, da Terra, Biológicas e da Saúde	1987	Aberto	08:30 - 11:30 / 14:00 - 17:00	08:30 - 11:30 / 14:00 - 17:00	08:30 - 11:30 / 14:00 - 17:00	08:30 - 11:30 / 14:00 - 17:00	08:30 - 11:30 / 14:00 - 17:00	Mediante agendamento	Não abre	N	-	Sim	Não	Não	Não	Não	Não	Sim	Sim	48	S	N	N/A	N/A	N/A	N/A	Não	N/A	N/A	N/A	N/A	N	N	N	N/A	N	N/A	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	S	S	S	125.648.387/0001-18	Museu	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui SOMENTE exposição de longa duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Ata de Reunião	N/A	N/A	N/A	N/A	N/A	12/1987; 15/10/1987	N/A	Não	Não	Não	Não
1.77.46.8840	Museu Capitão Pitaluga	Pública Federal  	-	Rua Comendador Antonio Jannuzzi	415	    	Belo Horizonte	27600-000	Valença	RJ	-43.710806	-22.247875	Rua Comendador Antonio Jannuzzi	415	    	    	Belo Horizonte	27600-000	Valença	RJ	(24) 2453-7363	museupitaluga@hotmail.com	  -  	NULL	NULL	NULL	3	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	08:00 - 11:30 / 13:30 - 16:30	08:00 - 11:30 / 13:30 - 16:30	08:00 - 11:30 / 13:30 - 16:30	08:00 - 11:30 / 13:30 - 16:30	08:00 - 11:30	Mediante agendamento	Mediante agendamento	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	S	N	-	S	-	-	-	-	-	-	N	-	N	S	S	S	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.77.52.3554	Museu Étnico Cultural ao Ar Livre	Pública Municipal  	-	Avenida Getúlio Vargas	s/n	Calçadão	  -  	88960-000	Sombrio	SC	-49.633814	-29.113927	Avenida Getúlio Vargas	s/n	Calçadão	    	    	88960-000	Sombrio	SC	(48) 3533-0333	culturasombrio@brturbo.com.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.77.73.8042	Sala de Memória de Guaratuba	Não informada  	-	Rua Doutor Carlos de Cavalcanti	273	    	  -  	83280-000	Guaratuba	PR	-48.575373	-25.876687	Rua Doutor Carlos de Cavalcanti	273	    	    	    	83280-000	Guaratuba	PR	(41) 3442-8246 / (41) 3442-8198	cultura@guaratuba.pr.gov.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.77.77.5220	Museu Histórico e Pedagógico Doutor Cesário Motta Jr.	Pública Municipal  	-	Praça José Zuza	s/n	 	Centro	13360-000	Capivari	SP	-47.497658	-22.980789	Praça José Zuza	s/n	 	    	Centro	13360-000	Capivari	SP	(19) 3492-5281	  -  	  -  	1	2	NULL	3	4	5	6	7	NULL	NULL	-	1958	Aberto	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	S	S	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	S	S	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.77.95.7748	Museu Histórico e Pedagógico Doutor Costa Júnior	Não informada  	-	Rua Silva Caldas	s/n	Parque Ecológico Nelson Lorena	  -  	12630-000	Cachoeira Paulista	SP	-	-	Rua Silva Caldas	s/n	Parque Ecológico Nelson Lorena	    	    	12630-000	Cachoeira Paulista	SP	(12) 3101-1333 / (12) 3103-1661	turismo.cultura@pmcp.com.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	1974	Aberto	Não abre	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.78.73.9812	Casa da Memória Viva da Ceilândia	Privada  	-	QNN 40 Conjunto J 	3	-	Ceilândia Sul	72220-410	Brasília	DF	-	-	QNN 40 Conjunto J 	3	-	    	Ceilândia Sul	72220-410	Brasília	DF	(61) 8287-2545 / (61) 9134-4668 	memoriaviva.jevan@gmail.com; viniciuscarvalhov@yahoo.com.br	facebook.com/sppcei?ref=ts&fref=ts	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	História	1997	Aberto	Não abre	Não abre	Não abre	Não abre	Não abre	14:00 - 18:00	Não abre	N	-	Sim	Não	Não	Não	Não	Não	Não	Não	N/A	S	N	N/A	N/A	N/A	N/A	Não	N/A	N/A	N/A	N/A	N	N	N	N/A	N	N/A	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	S	S	S		Museu	N/A	Sim	Sim	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Sim	Não	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Não	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Não	Não	Não	Não
1.78.87.0480	Museu Histórico de Santa Catarina	Pública Estadual  	-	Praça XV de Novembro	227	 	Centro	88010-400	Florianópolis	SC	-48.549453	-27.596848	Praça XV de Novembro	227	 	    	Centro	88010-400	Florianópolis	SC	(48) 3665-6363 / (48) 3665-6361 (Museologia) / (48) 3665-6362 (Ações Educativas) / (48) 3665-6367 (Recepção) / (48) 3665-6365 (Administração)	mhsc@fcc.sc.gov.br	www.mhsc.sc.gov.br	NULL	NULL	NULL	3	NULL	NULL	6	7	NULL	NULL	História	1979	Aberto	Não abre	10:00 - 18:00	10:00 - 18:00	10:00 - 18:00	10:00 - 18:00	10:00 - 16:00	10:00 - 16:00	S	R$ 5,00. Política de redução do valor do ingresso para estudantes da rede privada, professores, crianças e terceira idade. O Museu não cobra entrada na semana de museus e na primavera de museus e a entrada para exposições de curta duração nunca é cobrada.	Sim	Não	Sim	Não	Não	Não	Sim	Sim	100	S	N	N/A	N/A	N/A	N/A	Não	N/A	N/A	N/A	N/A	N	N	N	N/A	N	N/A	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	S	S	S	83.722.462/0001-40	Museu	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Lei	5.476, de 04 de outubro de 1978	N/A	N/A	N/A	N/A	N/A	N/A	Não	Não	Não	Não
